繄|yi1
芼|mao4
楽|yue4
腐|fu3
剳|zha2
稌|tu2
燀|chan3
揦|la4
馥|fu4
揥|ti4
圴|zhuo2
肫|zhun1
郷|xiang1
冂|jiong1
迪|di2
垓|gai1
岍|qian1
吻|wen3
眉|mei2
媬|bao3
婨|lun2
鎡|zi1
皓|hao4
黔|Qian2
抽|chou1
孌|luan2
夀|shou4
珙|gong3
合|he2
蘘|rang2
爸|ba4
茼|tong2
驩|huan1
警|jing3
婊|biao3
璸|bin1
邎|yao2
鵠|hu2
掌|zhang3
棋|qi2
炤|zhao4
眼|yan3
博|bo2
貳|er4
舶|bo2
䂖|shi2
篲|hui4
搤|e4
值|zhi2
須|xu1
隃|yu2
跕|die2
啐|cui4
逖|ti4
冔|xu3
考|kao3
鬦|dou4
麭|pao4
曠|kuang4
淞|song1
鎻|suo3
歔|xu1
閦|chu4
揕|zhen4
恠|guai4
猣|zong1
絍|ren4
誋|ji4
噬|shi4
脤|shen4
虞|yu2
槾|man2
璋|zhang1
鍭|hou2
㐤|qiu2
畁|bi4
燄|yan4
爹|die1
季|ji4
嘍|lou5
莚|yan2
鍺|zhe3
痦|wu4
垍|ji4
䯝|sui3
伐|fa2
甃|zhou4
扳|pan1
鞨|he2
弊|bi4
緤|xie4
幢|zhuang4
頫|fu3
蓬|peng2
鵂|xiu1
稚|zhi4
構|gou4
與|yu4
壩|ba4
贖|shu2
烈|lie4
陋|lou4
溟|ming2
覚|jue2
轀|wen1
儂|nong2
哧|chi1
盝|lu4
薘|da2
娼|chang1
徇|xun4
搖|yao2
翳|yi4
旌|jing1
呔|tai1
庤|zhi4
陌|mo4
壖|ruan2
羔|gao1
蠍|xie1
黍|shu3
戽|hu4
奉|feng4
乫|xx5
儈|kuai4
蓇|gu3
袠|zhi4
丠|qiu1
瞵|lin2
嘯|xiao4
朋|peng2
餌|er3
坰|jiong1
訧|you2
撱|tuo3
桂|gui4
瘕|jia3
對|dui4
慥|zao4
朔|shuo4
蔣|Jiang3
床|chuang2
䳘|e2
痯|guan3
棫|yu4
嗨|hai1
犂|li2
飧|sun1
豈|qi3
㝛|su4
繢|hui4
壒|ai4
彀|gou4
葍|fu2
慧|hui4
掬|ju1
忸|niu3
敪|duo2
栓|shuan1
灋|fa3
菌|jun4
鐻|ju4
蜅|fu3
雈|huan2
燈|deng1
角|jue2
笤|tiao2
隔|ge2
俱|ju4
檔|dang4
闥|ta4
槌|chui2
璜|huang2
蠽|jie2
䴉|huan2
鍅|fa3
疵|ci1
〣|san1
椴|duan4
踘|ju1
鍈|ying1
晢|zhe2
裀|yin1
瘸|que2
豱|wen1
唃|gu1
飾|shi4
恝|jia2
櫈|deng4
驍|xiao1
驂|can1
乴|xue2
釅|yan4
栩|xu3
檜|gui4
釆|bian4
顛|dian1
癖|pi3
氰|qing2
鐩|sui4
陘|xing2
甇|ying1
諭|yu4
龜|gui1
汞|gong3
灄|she4
團|tuan2
涮|shuan4
轗|kan3
寵|chong3
鹸|jian3
邪|xie2
鵰|diao1
坳|ao4
樹|shu4
鶉|chun2
臯|gao1
廀|sou1
殷|yin3
苧|zhu4
噞|yan3
卜|bu3
堲|ji2
袈|jia1
乊|xx5
儆|jing3
罩|zhao4
鞌|an1
蒄|guan1
亾|wang2
循|xun2
駞|tuo2
估|gu4
邊|bian5
瞷|jian4
間|jian4
稆|lu:3
癒|yu4
裴|Pei2
洣|Mi3
摸|mo2
訐|jie2
份|fen4
冷|leng3
眇|miao3
米|mi3
骼|ge2
嘡|tang1
火|huo3
鄖|yun2
寓|yu4
碚|bei4
嘂|jiao4
盵|Qi4
臐|xun1
峹|tu2
甏|bang4
瞳|tong2
屨|ju4
簃|yi2
少|shao4
鱔|shan4
毋|wu2
醐|hu2
孔|kong3
瓦|wa3
伸|shen1
輿|yu2
必|bi4
牏|tou2
拪|qian1
崤|Xiao2
砆|fu1
隷|li4
婪|lan2
綪|qian4
弧|hu2
狹|xia2
鎒|nou4
咀|ju3
兞|hao2 ke4
熛|biao1
茇|ba2
臓|zang4
儁|jun4
怫|fu2
噁|e3
漵|xu4
芰|ji4
脯|pu2
淚|lei4
礝|ruan3
鈕|niu3
漉|lu4
鄒|Zou1
懺|chan4
瞏|qiong2
蓯|cong1
囔|nang1
廝|si1
丣|you3
媸|chi1
觽|xi1
劼|jie2
輬|liang2
柁|tuo2
屁|pi4
周|zhou1
諷|feng3
妙|miao4
瑄|xuan1
邦|bang1
縟|ru4
宅|zhai2
鮎|nian2
徧|bian4
嵴|ji2
褙|bei4
卨|xie4
噔|deng1
盌|wan3
螋|sou1
峀|xiu4
橜|jue2
籑|zhuan4
攤|tan1
泭|fu1
魄|po4
柿|shi4
鄔|Wu1
囉|luo5
槕|zhuo1
濜|Jin4
魂|hun2
嫚|man4
睎|xi1
尰|zhong3
絝|ku4
幵|qian1
幕|mu4
炎|yan2
咩|mie1
卼|wu4
沇|yan3
惙|chuo4
勗|xu4
禊|xi4
匠|jiang4
毷|mao4
飡|can1
怚|ju4
蝦|xia1
棧|zhan4
燹|xian3
胠|qu1
酆|Feng1
姮|heng2
駔|zang3
塝|bang4
熏|xun1
衚|hu2
玫|mei2
萕|ji4
誘|you4
贐|jin4
訹|xu4
餧|wei4
衭|fu1
任|ren4
蓡|shen1
惦|dian4
祐|you4
沄|yun2
跚|shan1
祔|fu4
圪|ge1
佺|quan2
刮|gua1
驚|jing1
擠|ji3
眠|mian2
葩|pa1
灑|sa3
尸|shi1
嫦|chang2
躧|xi3
疸|dan3
藺|lin4
費|fei4
駿|jun4
樕|su4
諸|zhu1
磑|wei4
婿|xu4
銳|rui4
軘|tun2
唕|zao4
鉞|yue4
樺|hua4
河|he2
嵒|yan2
低|di1
璪|zao3
覷|qu4
姉|zi3
瀣|xie4
鑾|luan2
魟|hong2
珵|cheng2
鉢|bo1
巉|chan2
術|zhu2
兛|qian1 ke4
鎖|suo3
靆|dai4
驫|biao1
蠂|she4
烜|xuan3
姫|ji1
氘|dao1
浩|hao4
孅|xian1
賾|ze2
佚|yi4
諍|zheng4
珔|jian4
辮|bian4
橡|xiang4
醲|nong2
荽|sui1
騧|gua1
痧|sha1
墦|fan2
駐|zhu4
虧|kui1
添|tian1
郙|fu3
燖|xun2
刞|qu4
類|lei4
瀬|lai4
品|pin3
篷|peng2
湲|yuan2
擡|tai2
橧|zeng1
檑|lei2
赧|nan3
胩|ka3
鼐|nai4
礚|ke1
釕|liao3
泣|qi4
斥|chi4
鷃|yan4
澁|se4
玭|pin2
毀|hui3
都|du1
港|gang3
澠|sheng2
汛|xun4
粛|su4
倌|guan1
鋊|yu4
嘹|liao2
撣|dan3
貎|ni2
嫽|liao2
岌|ji2
聹|ning2
麪|mian4
股|gu3
伋|ji2
唪|feng3
拏|na2
阿|e1
啢|liang3
捩|lie4
廢|fei4
詅|ling2
躒|li4
爨|cuan4
蟾|chan2
軹|zhi3
犧|xi1
戇|zhuang4
鸞|luan2
和|huo4
箬|ruo4
頤|yi2
顰|pin2
帘|lian2
睥|bi4
裕|yu4
蓒|xuan1
卦|gua4
滝|long2
郅|zhi4
渝|Yu2
廵|xun2
剎|sha1
羈|ji1
勁|jing4
蘚|xian3
礌|lei4
珺|jun4
紱|fu2
懌|yi4
汾|fen2
濾|lu:4
訥|ne4
蠅|ying2
縿|shan1
猜|cai1
賚|lai4
鴽|ru2
狺|yin2
計|ji4
鼗|tao2
㒺|wang3
譙|qiao4
縉|jin4
厺|qu4
絲|si1
謚|yi4
鎶|ge1
歯|chi3
倻|ye1
燿|yao4
八|ba1
乀|pie3
諆|qi1
寧|ning4
䟖|zhi3
増|zeng1
惴|zhui4
鵜|ti2
忿|fen4
涓|juan1
諛|yu2
譩|yi1
猩|xing1
廛|chan2
慝|te4
搠|shuo4
陷|xian4
喱|li2
櫃|gui4
嘑|hu1
冺|min3
蝛|wei1
崘|lun2
鬫|kan4
閭|lu:2
楢|you2
鈺|yu4
猥|wei3
鈾|you2
皜|hao4
篢|gong1
襏|bo2
猱|nao2
犇|ben1
阱|jing3
弟|ti4
僮|tong2
尃|fu1
咋|zha4
掄|lun2
腔|qiang1
駻|han4
禘|di4
菝|ba2
龘|da2
戎|rong2
曳|ye4
逼|bi1
仁|ren2
齌|ji4
礙|ai4
詛|zu3
襍|za2
妷|zhi2
讕|lan2
寶|bao3
炆|wen2
媰|chu2
剕|fei4
冑|zhou4
琚|ju1
齒|chi3
獀|sou1
邐|li3
曝|pu4
単|dan1
褶|zhe3
慕|mu4
弄|nong4
璚|qiong2
蠨|xiao1
醌|kun1
璉|lian3
篌|hou2
侏|zhu1
豐|feng1
歡|huan1
摭|zhi2
筱|xiao3
蓄|xu4
愴|chuang4
鮟|an1
闆|pan4
戁|nan3
圐|ku1
紳|shen1
嗾|sou3
則|ze2
郊|jiao1
汭|rui4
垕|hou4
徻|wei4
甥|sheng1
拍|pai1
猢|hu2
崍|lai2
誥|gao4
害|hai4
沰|tuo1
楨|zhen1
鍾|zhong1
話|hua4
搏|bo2
戍|shu4
聽|ting4
畱|liu2
虛|xu1
堘|cheng2
牧|mu4
霆|ting2
觺|yi2
窟|ku1
愒|kai4
搐|chu4
轆|lu4
裂|lie4
偌|ruo4
苞|bao1
鈍|dun4
聆|ling2
黴|mei2
礮|pao4
糶|tiao4
荳|dou4
暦|li4
評|ping2
虰|ding1
胭|yan1
嶽|yue4
佬|lao3
蜷|quan2
嚌|ji4
仟|qian1
棑|pai2
嬤|mo2
澰|lian4
鑣|biao1
嵬|wei2
奎|kui2
諕|hao2
購|gou4
茵|yin1
庴|ji2
毚|chan2
慚|can2
靁|lei2
飭|chi4
嗿|tan3
薜|bi4
肊|yi4
彞|yi2
榾|gu3
蚤|zao3
譎|jue2
聰|cong1
祻|gu4
褻|xie4
衘|xian2
粃|bi3
墬|di4
疣|you2
腫|zhong3
鄭|Zheng4
窴|tian2
娟|juan1
畽|tuan3
沸|fei4
嗙|pang3
躰|ti3
妤|yu2
聒|guo1
扂|dian4
蠱|gu3
䰟|hun2
比|bi4
穩|wen3
竣|jun4
廖|Liao4
庖|pao2
怏|yang4
挱|suo1
綃|xiao1
伹|qu1
僞|wei3
酰|xian1
鑛|kuang4
饒|rao2
馯|han4
榮|rong2
臇|juan3
嶌|dao3
砈|e4
旅|lu:3
邳|pi1
妝|zhuang1
劌|gui4
豶|fen2
傺|chi4
紉|ren4
觳|hu2
娯|yu2
㮚|li4
茌|Chi2
霍|huo4
敁|dian1
棐|fei3
珽|ting3
垚|yao2
圧|ya1
嫉|ji2
焗|ju2
閤|he2
冃|mao4
惝|chang3
笸|po3
沿|yan2
秔|jing1
褏|xiu4
詹|zhan1
鱵|zhen1
熔|rong2
鰳|le4
蓮|lian2
䗶|la4
鯢|ni2
侑|you4
孻|lai2
皃|mao4
兇|xiong1
鴔|fu2
髍|mo2
到|dao4
岡|gang1
堞|die2
芸|yun2
倸|cai3
蜉|fu2
鱈|xue3
歛|lian3
钁|jue2
柦|dan4
下|xia4
馳|chi2
牕|chuang1
鏷|pu2
媏|duan1
肰|ran2
掰|bai1
垔|yin1
眦|zi4
剩|sheng4
貓|mao1
薻|zao3
淪|lun2
鎯|lang2
棒|bang4
創|chuang4
僝|chan2
伢|ya2
広|guang3
麛|mi2
黶|yan3
可|ke4
妍|yan2
豵|zong1
綾|ling2
淆|xiao2
陞|sheng1
眅|pan1
腄|chui2
曻|sheng1
籊|ti4
漫|man4
鈹|pi2
蠖|huo4
梴|chan1
弭|mi3
叫|jiao4
暫|zan4
搬|ban1
蘩|fan2
批|pi1
瓬|fang3
呏|sheng1
言|yan2
畀|bi4
簧|huang2
庚|geng1
瑭|tang2
呝|e4
愆|qian1
澶|chan2
蘁|wu4
頍|kui3
究|jiu1
㽮|xing1
渰|yan3
叨|tao1
繸|sui4
傲|ao4
插|cha1
錢|qian2
駃|kuai4
媛|yuan4
抝|ao4
讓|rang4
浮|fu2
況|kuang4
斵|zhuo2
璺|wen4
賥|sui4
騃|ai2
客|ke4
殲|jian1
豹|bao4
腮|sai1
娜|nuo2
搎|sun1
齶|e4
瞭|liao4
墜|zhui4
悆|yu4
咾|lao3
璫|dang1
叶|xie2
淤|yu1
脘|wan3
矠|ze2
菜|cai4
筃|yin1
煻|tang2
黌|hong2
蕈|xun4
徊|huai2
菹|zu1
在|zai4
禩|si4
礬|fan2
聞|wen2
轑|lao3
鐐|liao4
蛹|yong3
蕤|rui2
櫳|long2
棰|chui2
焰|yan4
越|yue4
氏|zhi1
挙|ju3
祧|tiao1
呪|zhou4
溧|li4
鄍|ming2
屬|zhu3
糢|mo2
櫡|zhu4
聶|nie4
航|hang2
込|xx5
欣|xin1
臿|cha1
謅|zhou1
閔|min3
偉|wei3
雑|za2
悶|men4
浣|huan4
鄑|zi1
嬭|nai3
妁|shuo4
艬|chan2
激|ji1
璣|ji1
騁|cheng3
遶|rao4
塬|yuan2
誶|sui4
佻|tiao1
泑|you3
鉳|bei3
奣|weng3
矟|shuo4
耑|duan1
窄|zhai3
紀|ji4
眳|ming2
檬|meng2
譅|se4
垢|gou4
杆|gan1
渣|zha1
鱓|shan4
蓧|diao4
䗬|feng1
眸|mou2
樴|zhi2
瘵|zhai4
疏|shu1
翰|han4
嫑|biao2
醝|cuo2
酒|jiu3
癮|yin3
穇|shan1
蕺|ji2
蘿|luo2
驙|zhan1
廎|qing3
夏|xia4
䅵|zhuo2
輅|lu4
鬎|la4
札|zha2
甬|yong3
演|yan3
蛤|ha2
勵|li4
宗|zong1
寅|yin2
処|chu3
稨|bian3
南|nan2
緑|lu:4
嘌|piao4
文|wen2
俚|li3
瀒|se4
竁|cui4
璟|jing3
糠|kang1
銀|yin2
乞|qi3
蔌|su4
鱀|ji4
改|gai3
彎|wan1
哢|long4
泔|gan1
炸|zha4
覺|jue2
宏|hong2
寃|yuan1
織|zhi1
惄|ni4
愉|yu2
壼|kun3
墩|dun1
鬒|zhen3
枉|wang3
緊|jin3
詖|bi4
褕|yu2
釺|qian1
父|fu4
湴|pan2
至|zhi4
麖|jing1
冀|ji4
睜|zheng1
趯|yue4
割|ge1
席|xi2
㹢|jia1
味|wei4
槎|cha2
沌|dun4
忌|ji4
憃|chong1
眕|zhen3
旮|ga1
敭|yang2
痏|wei3
詵|shen1
珖|guang1
鴯|er2
皞|hao4
傅|fu4
丘|qiu1
躚|xian1
獕|cui1
筇|qiong2
搾|zha4
纉|zuan3
梘|jian3
塋|ying2
煍|jiao3
橫|heng4
帛|bo2
喣|xu3
胦|yang1
軭|kuang1
枸|ju3
附|fu4
瓛|huan2
妖|yao1
螗|tang2
汀|ting1
弫|zhen3
拮|jie2
栝|gua1
瓜|gua1
覇|ba4
眹|zhen4
颳|gua1
吁|yu4
蝣|you2
揓|shi4
飲|yin4
迆|yi3
攧|dian1
囖|luo5
醊|chuo4
坫|dian4
淼|miao3
攽|ban1
儔|chou2
束|shu4
勢|shi4
憎|zeng1
堖|nao3
潀|cong2
稂|lang2
籍|ji2
罓|wang3
統|tong3
湻|chun2
菓|guo3
瀅|ying2
拷|kao3
愀|qiao3
氤|yin1
餹|tang2
仡|yi4
揺|yao2
敕|chi4
亷|lian2
誾|yin2
誂|tiao3
麂|ji3
糕|gao1
肆|si4
凋|diao1
潄|shu4
嘅|kai3
舎|she4
鑄|zhu4
蠹|du4
延|yan2
甜|tian2
揞|an3
槖|tuo2
忀|xiang1
蠰|shang4
干|gan1
豓|yan4
騐|yan4
鬙|seng1
奠|dian4
點|dian3
鋆|yun2
籢|lian2
令|ling4
嶢|yao2
蔡|Cai4
沫|mo4
噉|dan4
霉|mei2
莎|suo1
疃|tuan3
狀|zhuang4
皴|cun1
筴|ce4
軖|kuang2
趨|qu1
夆|feng2
銶|qiu2
楅|bi4
筑|zhu4
妚|pei1
谿|xi1
鎬|hao4
薇|wei1
榃|tan2
曡|die2
菘|song1
懸|xuan2
熄|xi1
㲱|lie4
搿|ge2
醃|yan1
鴠|dan4
怎|zen3
癐|gui4
髄|sui3
沚|zhi3
爾|er3
橃|fa2
醸|niang4
祊|beng1
郕|Cheng2
諶|chen2
儹|zan3
䴸|fu1
屩|jue1
簆|kou4
鰥|guan1
菴|an1
䂶|jie2
鰆|chun1
侚|xun4
佛|Fo2
稹|zhen3
罋|weng4
坡|po1
鳦|yi3
伾|pi1
攻|gong1
埔|pu3
毒|du2
逸|yi4
験|yan4
坕|jing1
非|fei1
滘|jiao4
敲|qiao1
梭|suo1
奓|zha4
眚|sheng3
缺|que1
託|tuo1
亐|yu2
渴|ke3
鰒|fu4
盼|pan4
踽|ju3
豖|chu4
躋|ji1
久|jiu3
暻|jing3
蕸|xia2
歳|sui4
碯|nao3
鵷|yuan1
嫄|yuan2
挖|wa1
燒|shao1
㝠|ming2
隟|xi4
鷀|ci2
澼|pi4
埗|bu4
釹|nu:3
岨|qu1
樓|lou2
搉|que4
印|yin4
漏|lou4
鉏|chu2
育|yu4
徽|hui1
黲|can3
埇|yong3
驃|piao4
祈|qi2
段|duan4
血|xue4
勰|xie2
昦|hao4
劇|ju4
粧|zhuang1
㓂|kou4
扶|fu2
糾|jiu1
榎|jia3
所|suo3
寥|liao2
瓴|ling2
輂|ju2
維|wei2
剔|ti1
昺|bing3
般|pan2
監|jian4
帑|tang3
煑|zhu3
劬|qu2
濟|ji4
愙|ke4
糭|zong4
坦|tan3
樞|shu1
吐|tu4
髾|shao1
兆|zhao4
鼭|shi2
洛|Luo4
涊|nian3
淂|de2
玊|su4
綂|tong3
走|zou3
柬|jian3
䶑|ti4
唿|hu1
覩|du3
軌|gui3
琥|hu3
璲|sui4
碭|dang4
璀|cui3
釐|li2
苪|bing3
瘍|yang2
勧|quan4
潁|ying3
陏|Sui2
捕|bu3
酡|tuo2
蹡|qiang4
幰|xian3
楋|la4
懾|she4
鼫|shi2
蹪|tui2
迓|ya4
僤|dan4
蟛|peng2
台|tai2
觩|qiu2
虢|Guo2
氥|xi1
優|you1
罄|qing4
汩|gu3
辺|bian1
嗄|sha4
颽|kai3
鎍|suo3
暌|kui2
頑|wan2
容|rong2
壹|yi1
楞|leng4
誙|keng1
踟|chi2
嬫|rong2
捄|jiu4
區|qu1
老|lao3
囝|nan1
杸|shu1
厹|rou2
顢|man1
阻|zu3
汔|qi4
酬|chou2
幗|guo2
休|xiu1
熒|ying2
樧|sha1
砣|tuo2
燃|ran2
擁|yong1
絖|kuang4
碌|lu4
加|jia1
歓|huan1
検|jian3
徼|jiao4
鎴|xi2
霅|zha2
妾|qie4
宬|cheng2
彲|chi1
騇|she4
霓|ni2
繩|sheng2
櫽|yin3
黥|qing2
煦|xu4
踈|shu1
磙|gun3
霙|ying1
鹿|lu4
毌|guan4
沘|bi3
郴|chen1
鱐|su4
慈|ci2
綖|yan2
狍|pao2
鞇|yin1
憋|bie1
悍|han4
逑|qiu2
鸇|zhan1
摳|kou1
㐺|zhong4
坊|fang2
觶|zhi4
抒|shu1
絕|jue2
鸑|yue4
磎|xi1
遻|wu4
唧|ji1
蓏|luo3
弱|ruo4
甡|shen1
壬|ren2
灩|yan4
撻|ta4
猋|biao1
綥|qi2
騌|zong1
亜|ya4
鍏|wei2
鏇|xuan4
玨|jue2
迶|you4
仂|le4
籠|long3
暸|liao2
氬|ya4
目|mu4
険|xian3
霒|yin1
爊|ao1
扦|qian1
舺|xia2
崚|leng2
枻|yi4
塩|yan2
猓|guo3
櫹|xiao1
纜|lan3
蛟|jiao1
㩜|lan3
邏|luo2
娛|yu2
蒲|pu2
釬|han4
串|chuan4
懣|men4
渕|yuan1
攓|qian1
駯|zhu1
操|cao4
媾|gou4
腳|jue2
髫|tiao2
跦|zhu1
慼|qi1
祲|jin1
巃|long2
餃|jiao3
瑂|mei2
惛|hun1
芽|ya2
膜|mo2
釧|chuan4
蘋|pin2
亍|chu4
羯|jie2
鴿|ge1
昒|hu1
咯|luo4
砌|qi4
㚻|ji1
痭|peng2
斑|ban1
硭|mang2
籟|lai4
碏|que4
齈|nong2
彠|huo4
儀|yi2
訪|fang3
劖|chan2
陵|ling2
赳|jiu1
猘|zhi4
閗|dou4
衟|dao4
邕|yong1
遷|qian1
媄|mei3
節|jie2
煌|huang2
敘|xu4
寛|kuan1
麣|yan2
凇|song1
畆|mu3
二|er4
鱭|ji4
齰|ze2
浚|jun4
彡|shan1
撕|si1
甹|ping1
唄|bei5
旪|xie2
猞|she1
丙|bing3
忻|xin1
堀|ku1
揍|zou4
躐|lie4
削|xue1
醉|zui4
帙|zhi4
蟥|huang2
櫟|li4
穵|wa1
鯙|chun2
砂|sha1
蠙|bin1
郁|yu4
䗈|meng2
杅|yu2
姊|zi3
抶|chi4
渖|shen3
杌|wu4
攝|she4
鎹|xx5
唔|wu2
栟|bing1
氊|zhan1
橇|qiao1
窘|jiong3
右|you4
紹|shao4
怔|zheng4
襖|ao3
癱|tan1
勹|bao1
錳|meng3
衍|yan3
翁|weng1
靳|jin4
媲|pi4
鱒|zun1
霎|sha4
霫|xi2
囍|xi3
蔓|man4
賺|zuan4
峚|mi4
㧯|lao3
捺|na4
童|tong2
婼|chuo4
抵|di3
襠|dang1
場|chang3
蓿|xu4
予|yu3
鴣|gu1
麠|jing1
鑿|zao2
橄|gan3
甎|zhuan1
鉱|kuang4
瓷|ci2
跏|jia1
菩|pu2
拝|bai4
散|san4
玁|xian3
塊|kuai4
瞑|ming2
伩|xin4
促|cu4
淨|jing4
麞|zhang1
酚|fen1
犮|quan3
莛|ting2
嵐|lan2
豋|deng1
圏|quan1
率|shuai4
鳴|ming2
胯|kua4
睽|kui2
膇|zhui4
殯|bin4
幦|mi4
返|fan3
魴|fang2
還|huan2
鶂|yi4
肧|pei1
幏|jia4
琅|lang2
譞|xuan1
怗|tie1
䈰|shao1
沛|pei4
胍|gua1
簾|lian2
閏|run4
檸|ning2
扞|han4
崖|ya2
楰|yu2
敬|jing4
篚|fei3
肓|huang1
婕|jie2
茜|xi1
匃|gai4
胻|heng2
渧|di4
唵|an3
縭|li2
愧|kui4
珥|er3
貶|bian3
榛|zhen1
穗|sui4
寡|gua3
蹦|beng4
恭|gong1
孺|ru2
萼|e4
仈|Ba1
酈|Li4
牯|gu3
癰|yong1
紋|wen2
緯|wei3
粹|cui4
翦|jian3
畫|hua4
困|kun4
粻|zhang1
餇|tong2
約|yue1
甦|su1
啲|di1
熁|xie2
湍|tuan1
災|zai1
軀|qu1
京|jing1
箋|jian1
愷|kai3
歷|li4
矦|hou2
壔|dao3
鍇|kai3
划|hua2
痒|yang3
菇|gu1
饞|chan2
咊|he2
拄|zhu3
躭|dan1
伝|yun2
俳|pai2
惏|lin2
煗|nuan3
蘓|su1
往|wang3
磪|cui1
鈦|tai4
麇|jun1
甕|weng4
舷|xian2
勃|bo2
堪|kan1
裟|sha1
撰|zhuan4
邛|qiong2
抴|ye4
啻|chi4
滃|weng3
賂|lu4
暾|tun1
甛|tian2
剿|jiao3
纘|zuan3
掀|xian1
蝒|mian2
殆|dai4
牂|zang1
䟆|bi4
吰|hong2
煢|qiong2
部|bu4
摞|luo4
陾|reng2
龎|pang2
播|bo1
傢|jia1
渨|wei1
牽|qian1
飶|bi4
髙|gao1
撟|jiao3
鳩|jiu1
壄|ye3
耜|si4
坲|fo2
珉|min2
喤|huang2
瑏|chuan1
妅|hong2
鯛|diao1
借|jie4
杼|zhu4
蠟|la4
吜|chou3
薺|qi2
卵|luan3
権|quan2
只|zhi3
疳|gan1
淖|nao4
怖|bu4
璝|gui1
屯|zhun1
鵗|xi1
咒|zhou4
伊|yi1
戶|hu4
儐|bin1
脈|mo4
綱|gang1
嵇|Ji1
貝|bei4
距|ju4
也|ye3
霊|ling2
啅|zhao4
琶|pa2
羲|Xi1
猊|ni2
山|shan1
氮|dan4
剃|ti4
鶤|kun1
熴|kun1
奸|jian1
繻|xu1
旆|pei4
淜|peng2
潢|huang2
寠|ju4
宙|zhou4
扐|le4
噲|kuai4
兌|dui4
炔|que1
窿|long2
妉|dan1
嶃|zhan3
俟|si4
騰|teng2
霩|kuo4
充|chong1
清|qing1
畺|jiang1
鞋|xie2
啼|ti2
弔|diao4
校|xiao4
嚼|jiao2
嗩|suo3
聲|sheng1
虍|hu1
斟|zhen1
纚|xi3
頷|han4
皈|gui1
療|liao2
霈|pei4
擂|lei4
倓|tan2
蝌|ke1
夠|gou4
縠|hu2
硼|peng2
俗|su2
鑷|nie4
舌|she2
丩|jiu1
埭|dai4
捥|wan4
疿|fei4
餡|xian4
暋|min3
塹|qian4
強|qiang3
晴|qing2
枷|jia1
歎|tan4
覯|gou4
冥|ming2
唶|jie4
紵|zhu4
虖|hu1
瑟|se4
劈|pi3
鰣|shi2
訑|yi2
鰹|jian1
鰂|zei2
㪟|dun1
駝|tuo2
捃|jun4
藷|shu3
黎|li2
蹩|bie2
璨|can4
肼|jing3
覉|ji1
咥|xi4
翅|chi4
椹|shen4
筎|ru2
觫|su4
猖|chang1
偵|zhen1
鎭|zhen4
揲|she2
躇|chu2
孜|zi1
藚|xu4
蕎|qiao2
好|hao4
琭|lu4
廧|qiang2
褀|qi2
要|yao4
稺|zhi4
秫|shu2
喃|nan2
譶|ta4
煜|yu4
舲|ling2
隘|ai4
曬|shai4
鬖|san1
劣|lie4
緩|huan3
俐|li4
枚|mei2
綠|lu:4
餘|yu2
特|te4
溵|Yin1
倣|fang3
噍|jiao4
披|pi1
磴|deng4
莞|wan3
淦|gan4
猁|li4
惕|ti4
瞘|kou1
䛐|ci2
嶝|deng4
崗|gang3
鹼|jian3
癅|liu2
僔|zun3
姚|yao2
攈|jun4
塈|ji4
耝|qu4
黕|zhen3
淶|lai2
瓸|bai3 wa3
醍|ti2
鋙|wu2
榀|pin3
鉈|ta1
筞|ce4
謊|huang3
齲|qu3
䬃|sa4
蕳|jian1
覤|xi4
坑|keng1
嶺|ling3
餈|ci2
㠀|dao3
菑|Zi1
犁|li2
堿|jian3
廿|nian4
鑑|jian4
璡|jin4
箑|sha4
滅|mie4
銛|xian1
屈|qu1
瀾|lan2
碼|ma3
氉|sao4
跲|jia2
礦|kuang4
號|hao4
匪|fei3
笛|di2
亓|qi2
羜|zhu4
狩|shou4
綆|geng3
姽|gui3
蔆|ling2
悃|kun3
朕|zhen4
蛆|qu1
榰|zhi1
罦|fu2
相|xiang4
朘|juan1
㯭|lu3
緖|xu4
蛚|lie4
瑔|quan2
炊|chui1
珃|ran3
脫|tuo1
欄|lan2
癪|ji1
苲|zha3
爆|bao4
梜|jia1
臊|sao4
幼|you4
怸|xi1
鏃|zu2
凓|li4
川|chuan1
煅|duan4
氜|yang2
曚|meng2
鯔|zi1
磉|sang3
闉|yin1
痂|jia1
鎤|huang3
施|shi1
栵|li4
跖|zhi2
葥|qian2
陡|dou3
砥|di3
傜|yao2
熱|re4
繾|qian3
袼|ge1
牁|ke1
讁|zhe2
鬴|fu3
殠|chou4
疙|ge1
薛|xue1
鬆|song1
戌|xu1
釸|xi4
蒓|chun2
乒|ping1
膘|biao1
焔|yan4
涂|tu2
僥|jiao3
覗|si1
遝|ta4
籥|yue4
賷|ji1
餯|hui4
㒳|liang3
軨|ling2
駜|bi4
鱆|zhang1
碉|diao1
煽|shan1
吉|ji2
景|jing3
躄|bi4
就|jiu4
聮|lian2
歇|xie1
腺|xian4
菶|beng3
塏|kai3
汐|xi1
嫪|lao4
氽|tun3
騆|zhou1
姿|zi1
誄|lei3
翖|xi1
䲔|jing1
閬|lang4
茫|mang2
噷|hen4
剛|gang1
忑|te4
踰|yu2
聡|cong1
聼|ting1
囂|xiao1
擅|shan4
磁|ci2
賙|zhou1
赯|tang2
胚|pei1
含|han2
莧|xian4
槀|gao3
柅|ni3
犬|quan3
螥|cang1
彫|diao1
梟|xiao1
鞃|hong2
燻|xun1
行|xing2
辟|pi4
