盘|pan2
视|shi4
颇|po1
跄|qiang4
〩|jiu3
竜|long2
廃|fei4
髢|di2
妺|mo4
諌|jian4
氘|dao1
跎|tuo2
韣|du2
闷|men4
贫|pin2
徘|pai2
卍|wan4
萏|dan4
燡|yi4
沚|zhi3
遨|ao2
靡|mi3
岚|lan2
瞈|weng3
隒|yan3
㺵|jiu3
铎|duo2
煆|ya1
姘|pin1
帗|fu2
枒|ya2
㫺|xi1
坛|tan2
嶲|xi1
亮|liang4
喰|can1
鄷|Feng1
茖|ge2
据|ju4
餩|e4
虫|chong2
哟|yo5
牡|mu3
駵|liu2
鲣|jian1
洫|xu4
翕|xi1
唅|han1
尘|chen2
泌|mi4
目|mu4
曛|xun1
湋|wei2
罣|gua4
劄|zha1
戉|yue4
狻|suan1
屧|xie4
孏|lan3
轝|yu2
醑|xu3
劝|quan4
豅|long2
挞|ta4
焜|kun1
陁|tuo2
伕|fu1
粗|cu1
麾|hui1
赎|shu2
殄|tian3
湫|jiao3
蛤|ha2
桉|an1
埲|beng3
库|ku4
派|pai4
诓|kuang1
瀹|yue4
缈|miao3
劵|juan4
垺|pou2
婵|chan2
祸|huo4
籅|yu2
啉|lin2
渫|xie4
玟|wen2
执|zhi2
溏|tang2
持|chi2
乳|ru3
塝|bang4
顽|wan2
鮸|mian3
翱|ao2
璃|li2
㱾|gai1
堎|ling2
黈|tou3
槁|gao3
穜|tong2
鞇|yin1
固|gu4
拝|bai4
箨|tuo4
趄|qie4
炒|chao3
诉|su4
舆|yu2
帲|ping2
杪|miao3
缑|gou1
铬|ge4
泞|ning4
漡|shang1
恓|xi1
黗|tun1
赢|ying2
戱|xi4
嫔|pin2
摛|chi1
阕|que4
恁|nin2
溥|pu3
侨|qiao2
杗|mang2
轘|huan4
埇|yong3
荇|xing4
灼|zhuo2
歰|se4
唵|an3
娉|ping1
组|zu3
啸|xiao4
酵|jiao4
揖|yi1
箭|jian4
燨|xi1
徨|huang2
鷾|yi4
沘|bi3
遟|chi2
部|bu4
郞|lang2
賝|chen1
笪|da2
俨|yan3
逼|bi1
桕|jiu4
疍|Dan4
斢|tou3
驆|bi4
约|yue1
蓏|luo3
邺|Ye4
豚|tun2
眼|yan3
梊|di4
揶|ye2
鹅|e2
娭|ai1
汆|cuan1
觑|qu4
哿|ge3
阁|ge2
线|xian4
砹|ai4
费|fei4
钉|ding4
嵩|song1
季|ji4
扻|zi4
菺|jian1
囟|xin4
问|wen4
挦|xian2
尤|you2
呀|ya5
縦|zong4
氺|shui3
鸪|gu1
刭|jing3
奁|lian2
俑|yong3
捣|dao3
皴|cun1
艘|sou1
汪|wang1
惧|ju4
榊|xx5
舢|shan1
菣|qin4
鲏|pi2
墉|yong1
溴|xiu4
蒡|bang4
嗵|tong1
液|ye4
芾|fu2
骇|hai4
兘|shi3
蜡|la4
偭|mian3
呃|e4
堪|kan1
鲑|gui1
崖|ya2
聎|tiao1
佑|you4
捆|kun3
仒|xx5
敻|Xiong4
驈|yu4
绛|jiang4
嘁|qi1
瑟|se4
髂|qia4
犂|li2
跑|pao3
岳|yue4
平|ping2
芪|qi2
洣|Mi3
鸴|xue2
泰|tai4
巂|xi1
堞|die2
粽|zong4
徽|hui1
接|jie1
蜈|wu2
嗉|su4
景|jing3
墫|zun1
僎|zhuan4
猖|chang1
居|ju1
煁|chen2
呵|he1
雏|chu2
盂|yu2
掠|lu:e4
婳|hua4
略|lu:e4
犵|qi4
船|chuan2
芑|qi3
魂|hun2
瓷|ci2
删|shan1
瓶|ping2
丬|qiang2
恔|xiao4
菩|pu2
边|bian5
措|cuo4
迷|mi2
呝|e4
佘|She2
貊|mo4
郡|jun4
丁|ding1
贱|jian4
同|tong4
宕|dang4
炅|jiong3
蹜|suo1
罂|ying1
姊|zi3
孜|zi1
蝮|fu4
藠|jiao4
崦|yan1
半|ban4
毐|Ai3
盝|lu4
纴|ren4
裸|luo3
铫|yao2
煨|wei1
蔸|dou1
嚟|li4
怏|yang4
坈|keng1
豮|fen2
鱎|jiao3
滏|fu3
眩|xuan4
锜|qi2
纪|ji4
鲃|ba1
陛|bi4
颡|sang3
愁|chou2
尙|shang4
捗|bu4
綷|cui4
猘|zhi4
糜|mi2
麠|jing1
莸|you2
犄|ji1
馘|guo2
恨|hen4
篓|lou3
崓|gu4
沿|yan2
用|yong4
㧑|hui1
斐|fei3
品|pin3
牴|di3
做|zuo4
兡|bai3 ke4
孛|bei4
松|song1
胂|shen4
弾|dan4
胙|zuo4
吣|qin4
佡|xian1
媞|ti2
蜓|ting2
鲮|ling2
苴|ju1
廻|hui2
亭|ting2
栱|gong3
时|shi2
捃|jun4
素|su4
倝|gan4
琭|lu4
壅|yong1
囮|e2
屉|ti4
鹖|he2
詅|ling2
啖|dan4
亄|yi4
蓔|zhuo2
忠|zhong1
糠|kang1
沰|tuo1
裼|xi1
搐|chu4
第|di4
蝝|yuan2
靪|ding1
爹|die1
酖|zhen4
傈|Li4
汾|fen2
靓|liang4
造|zao4
羔|gao1
革|ge2
韺|ying1
溧|li4
陏|Sui2
攼|han4
蠃|luo3
侈|chi3
邕|yong1
胯|kua4
鎞|bi4
拔|ba2
咖|ka1
煍|jiao3
腩|nan3
赘|zhui4
喦|nie4
课|ke4
买|mai3
蹚|tang1
跞|li4
忆|yi4
妒|du4
翔|xiang2
诏|zhao4
痢|li4
谨|jin3
胬|nu3
沺|tian2
訾|zi3
垧|shang3
眕|zhen3
僃|bei4
兔|tu4
魌|qi1
啧|ze2
惟|wei2
邶|bei4
镨|pu3
近|jin4
詟|zhe2
伶|ling2
塕|weng3
稿|gao3
矞|yu4
漘|chun2
湩|dong4
愮|yao2
级|ji2
咹|e4
鲐|tai2
撞|zhuang4
焌|qu1
蒄|guan1
歙|she4
鄣|zhang1
范|Fan4
菱|ling2
囍|xi3
桜|ying1
导|dao3
悲|bei1
旺|wang4
忙|mang2
氦|hai4
檖|sui4
各|ge4
咂|za1
婼|chuo4
苗|miao2
珡|qin2
胇|fei4
袆|hui1
镄|fei4
璨|can4
荨|xun2
传|zhuan4
禘|di4
寝|qin3
觯|zhi4
淄|zi1
铤|ting3
掣|che4
浴|yu4
昉|fang3
畿|ji1
〇|ling2
赜|ze2
龒|long2
患|huan4
醸|niang4
柝|tuo4
躏|lin4
昒|hu1
蛆|qu1
酒|jiu3
蔘|shen1
皭|jiao4
痔|zhi4
呓|yi4
豍|bi1
慱|tuan2
淞|song1
唬|hu3
鋑|cuan1
以|yi3
佐|zuo3
邛|qiong2
群|qun2
厚|hou4
篆|zhuan4
狓|pi1
晑|xiang3
馎|bo2
敳|ai2
酞|tai4
颛|zhuan1
岧|tiao2
泣|qi4
媩|hu2
宏|hong2
璇|xuan2
齁|hou1
哋|di4
筌|quan2
邯|han2
洨|Xiao2
矶|ji1
塑|su4
申|shen1
螃|pang2
厺|qu4
椸|yi2
榔|lang2
瓜|gua1
寰|huan2
嫘|Lei2
手|shou3
痹|bi4
濠|hao2
闻|wen2
髄|sui3
辀|zhou1
歨|bu4
儦|biao1
陟|zhi4
唛|mai4
続|xu4
坩|gan1
瘙|sao4
缎|duan4
公|gong1
倏|shu1
纫|ren4
韪|wei3
魣|yu2
逶|wei1
愎|bi4
菪|dang4
総|zong3
拨|bo1
踥|qie4
靮|di2
亹|wei3
糭|zong4
罡|gang1
量|liang4
跩|zhuai3
嶌|dao3
万|wan4
育|yu4
睬|cai3
苁|cong1
纛|dao4
眸|mou2
楎|hun2
采|cai4
踟|chi2
涢|Yun2
法|fa3
宗|zong1
肫|zhun1
该|gai1
蹯|fan2
椆|chou2
缴|jiao3
恽|Yun4
勈|yong3
坒|bi4
弤|di3
斋|zhai1
髨|kun1
欬|kai4
颓|tui2
臄|jue2
莴|wo1
飑|biao1
酋|qiu2
熤|yi4
甬|yong3
霨|wei4
諆|qi1
彘|zhi4
贡|gong4
哄|hong4
丽|li4
敦|dun1
雰|fen1
孚|fu2
大|dai4
贞|zhen1
匈|xiong1
冘|yin2
躰|ti3
囥|kang4
鹮|huan2
栋|dong4
踶|di4
册|ce4
炆|wen2
丛|cong2
桠|ya1
叕|zhuo2
老|lao3
佴|er4
引|yin3
乱|luan4
鞑|Da2
侅|gai1
蟟|liao2
䜣|xin1
囱|cong1
囬|hui2
蛰|zhe2
瑑|zhuan4
餍|yan4
疖|jie2
繨|da2
潲|shao4
糯|nuo4
赤|chi4
茯|fu2
溜|liu1
毗|pi2
幮|chu2
苎|zhu4
嶞|duo4
套|tao4
驼|tuo2
夫|fu2
浦|pu3
蓒|xuan1
澌|si1
麴|Qu1
擿|zhi4
侯|hou2
頀|hu4
业|ye4
脆|cui4
诂|gu3
炤|Zhao4
赕|dan3
仂|le4
伝|yun2
凰|huang2
獝|yu4
狼|lang2
幡|fan1
妲|Da2
镏|liu2
㮎|bei1
礽|reng2
染|ran3
蹒|pan2
痞|pi3
辽|Liao2
渔|yu2
菖|chang1
猢|hu2
鲢|lian2
糔|xiu3
仏|fo2
托|tuo1
跷|qiao1
蜍|chu2
靳|jin4
起|qi3
坻|di3
嵴|ji2
蜐|jie2
羱|yuan2
薬|yao4
麁|cu1
齑|ji1
踦|ji3
郈|Hou4
蕖|qu2
蹴|cu4
珲|hun2
麦|mai4
症|zheng1
阈|yu4
鸰|ling2
檥|yi3
权|quan2
絣|bing3
楂|zha1
繊|xian1
襻|pan4
灮|guang1
徼|jiao4
眄|mian4
鳙|yong1
水|shui3
雘|huo4
觱|bi4
槿|jin3
駻|han4
旟|yu2
够|gou4
态|tai4
匞|jiang4
版|ban3
娟|juan1
槱|you3
垞|cha2
逍|xiao1
缌|si1
醰|tan2
疯|feng1
圆|yuan2
堮|e4
鄕|xiang1
芹|qin2
涞|lai2
防|fang2
宛|wan3
腄|chui2
艇|ting3
茸|rong2
拧|ning4
濍|song1
纡|yu1
褐|he4
戣|kui2
捶|chui2
合|he2
钹|bo2
腽|wa4
藳|gao3
化|hua4
喂|wei4
颏|ke2
莼|chun2
串|chuan4
镅|mei2
缂|ke4
彧|yu4
瑰|gui1
颽|kai3
攥|zuan4
嵘|rong2
啡|fei1
呜|wu1
稑|lu4
翁|weng1
铐|kao4
帜|zhi4
潾|lin2
璆|qiu2
圄|yu3
埔|pu3
旯|la2
墅|shu4
镲|cha3
雑|za2
锎|kai1
酃|ling2
愆|qian1
钰|yu4
黐|chi1
夣|meng4
渓|xi1
峀|xiu4
伤|shang1
摩|mo2
痚|xiao1
袁|yuan2
叻|le4
殑|qing2
巌|yan2
甲|jia3
霾|mai2
沦|lun2
繈|qiang3
沴|li4
撊|xian4
瘼|mo4
犊|du2
铸|zhu4
霖|lin2
冤|yuan1
袗|zhen3
倂|bing4
犆|te4
骈|pian2
攐|qian1
域|yu4
藓|xian3
庹|tuo3
蹠|zhi2
迈|mai4
漓|li2
愓|dang4
鲶|nian2
尰|zhong3
厔|zhi4
擞|sou3
桫|suo1
潜|qian2
钟|zhong1
鰫|yong2
軜|na4
薢|xiao4
蓝|lan2
尼|ni2
伈|xin3
涧|jian4
吪|e2
唿|hu1
㲾|yu3
囵|lun2
迆|yi3
蛳|si1
驰|chi2
礴|bo2
歠|chuo4
原|yuan2
撄|ying1
棠|tang2
泆|yi4
蟜|jiao3
蜃|shen4
赇|qiu2
簧|huang2
邧|yuan2
溺|niao4
颀|qi2
擅|shan4
姨|yi2
篶|yan1
伹|qu1
楟|ting2
禨|ji1
泐|le4
獐|zhang1
挐|na2
骍|xing1
倘|tang3
粪|fen4
薄|bo4
罚|fa2
僔|zun3
米|mi3
儩|si4
磪|cui1
飒|sa4
犫|chou1
緪|geng1
频|pin2
伧|cang1
裛|yi4
饮|yin4
瀔|gu3
庇|bi4
咾|lao3
麅|pao2
褵|li2
埏|yan2
吉|ji2
侉|kua3
醛|quan2
宫|gong1
阎|Yan2
悀|yong3
腹|fu4
焰|yan4
摺|zhe2
浮|fu2
篝|gou1
牣|ren4
県|xian4
辶|chuo4
琅|lang2
忍|ren3
腮|sai1
夌|ling2
収|shou1
凟|du2
莙|jun1
拦|lan2
鬄|ti4
悸|ji4
呔|tai1
佗|tuo2
膌|ji2
霅|zha2
偸|tou1
訬|chao1
睎|xi1
蜥|xi1
承|cheng2
嘏|jia3
极|ji2
噘|jue1
邳|pi1
毾|ta4
変|bian4
矍|jue2
均|jun1
蒗|lang4
苄|bian4
焮|xin4
锥|zhui1
觋|xi2
譡|dang3
睺|hou2
泥|ni4
脔|luan2
辺|bian1
汧|qian1
砉|xu1
雾|wu4
惕|ti4
蟮|shan4
硗|qiao1
鯙|chun2
澳|ao4
呤|ling2
滁|Chu2
宦|huan4
蜚|fei3
硇|nao2
山|shan1
妪|yu4
弹|tan2
竽|yu2
铽|te4
丑|chou3
嫽|liao2
峒|tong2
妃|fei1
濮|Pu2
觝|di3
泯|min3
琎|jin4
纠|jiu1
侩|kuai4
夶|bi3
倻|ye1
鲆|ping2
兮|xi1
趴|pa1
潘|Pan1
躛|wei4
皈|gui1
增|zeng1
喺|xi3
爊|ao1
艳|yan4
屪|liao2
违|wei2
蓥|ying2
搠|shuo4
卉|hui4
班|ban1
曽|ceng2
瓦|wa3
樵|qiao2
庈|qin2
嫑|biao2
肹|xi1
借|jie4
艉|wei3
傥|tang3
息|xi1
铍|pi2
胀|zhang4
善|shan4
慧|hui4
嬹|xing4
弋|yi4
撚|nian3
茄|qie2
艋|meng3
廊|lang2
邢|Xing2
畵|hua4
赳|jiu1
藏|zang4
筵|yan2
懠|qi2
涩|se4
颂|song4
鲯|qi2
害|hai4
蔫|nian1
缭|liao2
蛸|xiao1
柠|ning2
纒|chan2
棍|gun4
舟|zhou1
翎|ling2
爽|shuang3
魵|fen2
噩|e4
恿|yong3
牲|sheng1
绊|ban4
麭|pao4
搜|sou1
笲|fan2
瞀|mao4
揭|jie1
瞫|Shen3
咠|qi4
丵|zhuo2
咪|mi1
橡|xiang4
怗|tie1
戍|shu4
铝|lu:3
务|wu4
建|jian4
摔|shuai1
却|que4
岷|min2
胰|yi2
峠|xx5
怜|lian2
兛|qian1 ke4
膟|lu:4
塡|tian2
熬|ao2
笱|gou3
摇|yao2
昺|bing3
甡|shen1
诀|jue2
璁|cong1
攸|you1
郎|lang2
哗|hua2
杽|chou3
轇|jiu1
荧|ying2
穷|qiong2
藭|qiong2
痤|cuo2
矢|shi3
碡|zhou2
芨|ji2
袋|dai4
裉|ken4
蜴|yi4
炾|huang3
鲖|tong2
泒|gu1
习|xi2
殻|qiao4
辔|pei4
雟|sui2
黮|tan2
卟|bu3
龘|da2
耻|chi3
児|er2
熘|liu1
聪|cong1
瓘|guan4
榀|pin3
簸|bo4
劫|jie2
遻|wu4
酿|niang4
玼|ci3
倥|kong3
癌|ai2
智|zhi4
诌|zhou1
尃|fu1
雎|ju1
其|qi2
沪|Hu4
珻|mei2
铺|pu4
敏|min3
腑|fu3
鄈|kui2
鄫|Zeng2
栩|xu3
蚝|hao2
榦|gan4
龉|yu3
匧|qie4
啕|tao2
拭|shi4
姻|yin1
艄|shao1
蓐|ru4
妣|bi3
羑|you3
瓻|chi1
骚|sao1
齰|ze2
漖|jiao4
逴|chuo4
胪|lu2
鈆|yan2
濑|lai4
揉|rou2
簬|lu4
寗|ning2
澽|Ju4
䗶|la4
皞|hao4
跋|ba2
呫|zhan1
罟|gu3
孤|gu1
蝳|dai4
朮|zhu2
枋|fang1
姹|cha4
牟|mou2
钑|ji2
崟|yin2
簜|dang4
濡|ru2
讐|chou2
艮|gen4
蛚|lie4
辊|gun3
钨|wu1
薐|leng2
折|zhe2
贩|fan4
拊|fu3
袚|fu2
羝|di1
怆|chuang4
藚|xu4
躹|ju1
碫|duan4
胖|pang4
籊|ti4
弘|hong2
坲|fo2
薜|bi4
鵀|ren4
挡|dang3
浪|lang4
谪|zhe2
坍|tan1
江|jiang1
换|huan4
毖|bi4
媳|xi2
旄|mao4
欃|chan2
陕|Shan3
察|cha2
熉|yun2
矱|yue1
殆|dai4
磬|qing4
嵡|weng3
艿|nai3
茊|zi1
髎|liao2
筘|kou4
蹽|liao1
哳|zha1
璈|ao2
驳|bo2
洟|ti4
三|san1
骄|jiao1
垛|duo3
霝|ling2
纣|zhou4
蝒|mian2
尿|sui1
樽|zun1
哝|nong2
横|heng4
曩|nang3
嬛|xuan1
饵|er3
遗|yi2
界|jie4
肚|du4
籧|qu2
柔|rou2
铂|bo2
墓|mu4
瓿|bu4
炬|ju4
輠|guo3
甽|quan3
譱|shan4
呒|m2
粛|su4
眑|yao3
叹|tan4
钍|tu3
誓|shi4
市|shi4
晷|gui3
怔|zheng4
斮|zhuo2
増|zeng1
苶|nie2
懐|huai2
棫|yu4
迨|dai4
汋|zhuo2
逿|dang4
嗬|he1
恶|wu4
仌|bing1
銧|guang1
阛|huan2
蓦|mo4
牝|pin4
彴|zhuo2
绔|ku4
颐|yi2
粒|li4
菹|zu1
熄|xi1
锩|juan4
璐|lu4
殡|bin4
梦|meng4
惜|xi1
鬖|san1
镮|huan2
舻|lu2
醐|hu2
潸|shan1
婉|wan3
葩|pa1
奏|zou4
穊|ji4
馝|bi4
蕤|rui2
勧|quan4
釜|fu3
㕥|shen1
没|mo4
畓|xx5
鋆|yun2
莳|shi4
帹|sha4
泡|pao4
唉|ai4
帘|lian2
葖|tu2
樗|chu1
旛|fan1
锖|qiang1
么|me5
畯|jun4
驯|xun4
幵|qian1
痵|ji4
郭|guo1
裲|liang3
痿|wei3
扦|qian1
骅|hua2
找|zhao3
逺|yuan3
矾|fan2
贷|dai4
賌|gai1
悑|bu4
璟|jing3
穑|se4
焉|yan1
姆|mu3
谓|wei4
怭|bi4
敿|jiao3
睑|jian3
颃|hang2
凞|xi1
加|jia1
毯|tan3
眭|sui1
后|hou4
逻|luo2
亝|qi2
筚|bi4
英|ying1
橙|cheng2
个|ge4
椭|tuo3
遇|yu4
淫|yin2
搨|ta4
禧|xi3
覐|jue2
睽|kui2
漭|mang3
搂|lou3
形|xing2
訇|hong1
栎|li4
揸|zha1
牠|ta1
箾|shuo4
鲝|zha3
歳|sui4
缆|lan3
蜉|fu2
宋|Song4
圜|yuan2
俣|yu3
灪|yu4
绁|xie4
痼|gu4
蕙|hui4
暗|an4
箫|xiao1
罆|guan4
蟭|jiao1
礅|dun1
獕|cui1
魈|xiao1
妽|shen1
鉠|yang1
桟|zhan4
概|gai4
粝|li4
路|lu4
脒|mi3
积|ji1
镓|jia1
麚|jia1
怯|qie4
稛|kun3
駾|tui4
飗|liu2
蚊|wen2
涴|wo4
鋕|zhi4
即|ji2
铪|ha1
怫|fu2
爱|ai4
膝|xi1
氇|lu3
澥|xie4
弑|shi4
果|guo3
漪|yi1
菎|kun1
厷|hong2
挛|luan2
抴|ye4
别|bie4
囤|tun2
砍|kan3
肰|ran2
鞉|tao2
拣|jian3
傧|bin1
牦|mao2
襄|xiang1
哙|kuai4
婆|po2
鹔|su4
龇|zi1
檗|bo4
痲|ma2
擩|ru3
惑|huo4
烃|ting1
翦|jian3
碾|nian3
玱|qiang1
谒|ye4
絿|qiu2
涐|E2
檄|xi2
檵|qi3
螙|du4
帰|gui1
斧|fu3
佰|bai3
凝|ning2
懫|zhi2
襚|sui4
骉|biao1
椈|ju2
堠|hou4
鳔|biao4
纾|shu1
葇|rou2
舂|chong1
憧|chong1
偕|xie2
掉|diao4
呋|fu1
鐡|tie3
循|xun2
鼾|han1
娸|qi2
勚|yi4
雗|han4
搞|gao3
卯|mao3
虆|lei2
蝼|lou2
於|wu1
哥|ge1
蒜|suan4
漯|ta4
祥|xiang2
紾|zhen3
虺|hui3
泛|fan4
猳|jia1
忭|bian4
胏|zi3
飐|zhan3
摞|luo4
桯|ting1
腚|ding4
躄|bi4
逊|xun4
賨|cong2
侌|yin1
駄|tuo2
鯈|chou2
嶝|deng4
瘃|zhu2
俾|bi3
询|xun2
卲|Shao4
飰|fan4
揓|shi4
梲|zhuo2
毂|gu3
貆|huan2
髁|ke1
膊|bo2
宙|zhou4
薧|kao3
瘤|liu2
儭|chen4
铁|tie3
渌|lu4
绶|shou4
琝|min2
锴|kai3
抔|pou2
㯳|qing2
閗|dou4
耸|song3
苊|e4
馈|kui4
痛|tong4
联|lian2
爸|ba4
嘞|lei5
钩|gou1
媟|xie4
爇|ruo4
瓖|xiang1
圣|sheng4
銎|qiong1
溦|wei1
嵇|Ji1
丹|dan1
婀|e1
庵|an1
飶|bi4
莘|xin1
尓|er3
烀|hu1
翪|zong1
摅|shu1
佝|kou4
杉|shan1
朊|ruan3
衣|yi4
献|xian4
棘|ji2
酚|fen1
㐤|qiu2
礼|li3
膇|zhui4
蝣|you2
鲽|die2
癣|xuan3
舁|yu2
跲|jia2
暝|ming2
堤|di1
黁|nun2
苇|wei3
沣|feng1
潟|xi4
鶗|ti2
俚|li3
崽|zai3
湢|bi4
兲|tian1
奘|zhuang3
黧|li2
杠|gang4
娴|xian2
寎|bing4
蒲|pu2
裍|kun3
蕝|jue2
庒|zhuang1
栉|zhi4
磅|bang4
疼|teng2
服|fu4
橎|fan3
熠|yi4
桎|zhi4
架|jia4
垮|kua3
浼|mei3
苕|tiao2
秈|xian1
哑|ya3
笃|du3
颤|chan4
奰|bi4
腜|mei2
蜻|qing1
融|rong2
淩|ling2
祉|zhi3
鳇|huang2
缛|ru4
匋|tao2
呬|xi4
肌|ji1
阌|wen2
顸|han1
协|xie2
泓|hong2
膪|chuai4
钻|zuan4
袷|jia2
裨|pi2
洳|ru4
鹝|yi4
虢|Guo2
遮|zhe1
钳|qian2
骸|hai2
沔|mian3
慵|yong1
䌹|jiong3
订|ding4
鬬|dou4
箔|bo2
欼|chi3
洸|guang1
刴|duo4
菧|di3
锢|gu4
佥|qian1
鲻|zi1
痦|wu4
餈|ci2
捽|zuo2
渋|se4
咤|zha4
酉|you3
迩|er3
诰|gao4
胧|long2
鲤|li3
丮|ji3
硻|keng1
眰|die2
秧|yang1
吜|chou3
走|zou3
惙|chuo4
躣|qu2
蚱|zha4
撙|zun3
弓|gong1
鲂|fang2
众|zhong4
饱|bao3
轾|zhi4
婞|xing4
笰|fu2
牧|mu4
肘|zhou3
壿|zun1
敪|duo2
渨|wei1
珑|long2
圩|xu1
豇|jiang1
渺|miao3
頖|pan4
讣|fu4
冽|lie4
橕|cheng1
古|gu3
枕|zhen3
閦|chu4
铰|jiao3
柑|gan1
祠|ci2
剤|ji4
毓|yu4
茎|jing1
狆|zhong4
穹|qiong2
拠|ju4
憷|chu4
揲|she2
伛|yu3
辣|la4
茫|mang2
蒂|di4
朝|zhao1
颔|han4
䝓|lie4
渚|zhu3
菡|han4
蝄|wang3
萨|Sa4
袂|mei4
稞|ke1
垵|an3
抗|kang4
悭|qian1
陥|xian4
尚|shang4
恘|qiu1
忾|kai4
佾|yi4
錬|lian4
劳|lao2
〢|er4
紑|fou2
爝|jue2
倨|ju4
渴|ke3
玈|lu2
謋|huo4
禝|ji4
酡|tuo2
讽|feng3
裀|yin1
妾|qie4
冲|chong4
溍|jin4
球|qiu2
霁|ji4
寠|ju4
椟|du2
蠎|mang3
埚|guo1
畳|die2
痌|tong1
抟|tuan2
邿|shi1
踘|ju1
晡|bu1
蘼|mi2
譅|se4
肿|zhong3
浩|hao4
骨|gu3
癯|qu2
嘣|beng1
蜛|ju1
轴|zhou4
埽|sao4
浇|jiao1
蝐|mao4
襫|shi4
樲|er4
藴|yun4
菐|pu2
褥|ru4
蜿|wan1
婷|ting2
簗|zhu4
垲|kai3
央|yang1
蓸|cao2
箪|dan1
维|wei2
仁|ren2
鍴|duan1
编|bian1
淀|dian4
鯥|lu4
鐏|zun1
裈|kun1
麻|ma2
刮|gua1
洴|ping2
外|wai4
绦|tao1
蓑|suo1
匜|yi2
庉|dun4
俩|lia3
鳑|pang2
斛|hu2
蔽|bi4
髻|ji4
溎|gui4
雉|zhi4
幛|zhang4
虿|chai4
譊|nao2
黕|zhen3
檑|lei2
驷|si4
靿|yao4
皋|gao1
匑|gong1
团|tuan2
轏|zhan4
窆|bian3
堆|dui1
巾|jin1
蕉|qiao2
娥|e2
蝽|chun1
君|jun1
姱|kua1
卣|you3
羂|juan4
岽|Dong1
々|xx
忽|hu1
睐|lai4
泑|you3
姫|ji1
泲|ji3
盥|guan4
弄|long4
粿|guo3
嘫|ran2
穆|mu4
索|suo3
比|bi4
盲|mang2
非|fei1
膙|jiang3
鎋|xia2
娵|ju1
刀|dao1
婐|wo3
彡|shan1
僖|xi1
珉|min2
丘|qiu1
怞|zhou4
铡|zha2
盦|an1
屫|jue1
幋|pan2
胤|yin4
虡|ju4
棁|zhuo1
赫|he4
肯|ken3
簏|lu4
议|yi4
佟|Tong2
岁|sui4
覗|si1
邻|lin2
邴|bing3
渥|wo4
垃|la1
耙|pa2
萹|bian3
桢|zhen1
阗|tian2
溛|wa1
牵|qian1
嘂|jiao4
呕|ou3
櫽|yin3
驽|nu2
块|kuai4
旻|min2
彟|huo4
漕|cao2
痘|dou4
箦|ze2
著|zhu4
鬋|jian1
騃|ai2
栘|yi2
淑|shu1
淊|yan1
捧|peng3
〤|si4
簃|yi2
恌|tiao1
惸|qiong2
示|shi4
妞|niu1
朏|fei3
仿|fang3
攫|jue2
耽|dan1
诅|zu3
荻|di2
署|shu3
娣|di4
骱|xie4
誃|chi3
址|zhi3
豝|ba1
吩|fen1
床|chuang2
罄|qing4
撤|che4
磥|lei3
坨|tuo2
淰|nian3
褶|zhe3
埧|ju4
柣|zhi2
推|tui1
茂|mao4
雷|lei2
伦|lun2
蝃|zhuo1
鼡|shu3
鹟|weng1
怒|nu4
埤|pi2
鋳|zhu4
豁|huo4
汉|han4
卓|zhuo2
剀|kai3
庄|zhuang1
帝|di4
味|wei4
颢|hao4
栒|xun2
煤|mei2
芩|qin2
欶|shuo4
婚|hun1
诩|xu3
瑁|mao4
獳|nou4
惭|can2
洿|wu1
蹁|pian2
蚌|bang4
赀|zi1
砼|tong2
萘|nai4
赶|gan3
骴|ci1
林|lin2
飧|sun1
逗|dou4
嵛|yu2
敧|qi3
粋|cui4
憾|han4
輫|pai2
楮|chu3
甄|zhen1
遅|chi2
踬|zhi4
珳|wen2
锶|si1
纎|xian1
玓|di4
巆|ying2
燇|jun4
贠|yuan2
岫|xiu4
虚|xu1
兖|Yan3
上|shang4
奔|ben1
賏|ying4
棸|Zou1
煠|ye4
珺|jun4
傲|ao4
劢|mai4
怪|guai4
交|jiao1
鳌|ao2
嘈|cao2
亼|ji2
澙|xi4
暆|yi2
吓|xia4
递|di4
跱|zhi4
企|qi3
䛟|jia2
癞|lai4
缝|feng4
瘭|biao1
仳|pi3
胡|hu2
椒|jiao1
蛾|e2
岬|jia3
抛|pao1
隞|Ao2
谲|jue2
棤|cuo4
峣|yao2
婕|jie2
揠|ya4
腌|yan1
匡|kuang1
萩|qiu1
秭|zi3
褎|xiu4
觏|gou4
滑|hua2
蔷|qiang2
启|qi3
痣|zhi4
忬|yu4
痱|fei4
鬫|kan4
䗈|meng2
鞄|pao2
鼅|zhi1
戥|deng3
争|zheng1
歾|mo4
荞|qiao2
芚|tun2
隟|xi4
噇|chuang2
缫|sao1
例|li4
矗|chu4
藤|teng2
操|cao4
沮|ju3
梠|lu:3
奢|she1
獍|jing4
禫|tan3
降|xiang2
警|jing3
偬|zong3
锫|pei2
欻|xu1
直|zhi2
嘘|xu1
枸|ju3
囦|yuan1
钏|chuan4
舲|ling2
噷|hen4
悟|wu4
妮|ni1
臬|nie4
滋|zi1
嫏|Lang2
骑|qi2
鸫|dong1
趯|yue4
膵|cui4
漜|ye3
史|shi3
唠|lao4
骭|gan4
掮|qian2
攂|lei2
莅|li4
愔|yin1
漆|qi1
龡|chui4
侣|lu:3
峄|yi4
寁|zan3
奇|qi2
扪|men2
暡|weng3
鶤|kun1
拢|long3
